Fund Name,Fund Manager Name,ISIN,Region,Sector,2023 RE participants,Ticker_B,Ticker,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,Address,Market
Regency Centers Corporation,Regency Centers Corporation,US7588491032,North America,Retail,Yes,REG,REG,65,65.25,67.48999786,67.16999817,65.95999908,66.73999786,66.69999695,64.51000214,69.48999786,67.23999786,65.04000092,63.09000015,62.04000092,57.43999863,38.43000031,43.90999985,42.79000092,45.88999939,41.02999878,39.70999908,38.02000046,35.59000015,45.58000183,45.59000015,47.18000031,54.77999878,56.70999908,63.65999985,64.59999847,64.06999969,65.41000366,68.62000275,67.33000183,70.41000366,69.33999634,75.34999847,71.75,65.88999939,71.33999634,68.83000183,68.20999908,59.31000137,64.43000031,60.84000015,53.84999847,60.50999832,66.43000031,62.5,66.62999725,62.90000153,61.18000031,61.43000031,56.27000046,61.77000046,65.52999878,62.20000076,59.43999863,60.25999832,62.77999878,67,62.66999817,61.95000076,60.56000137,59.22000122,61.40000153,62.20000076,"One Independent Drive Suite 114 Jacksonville, FL 32202-5019 United States",NASDAQ
Shaftesbury Plc,Shaftesbury Plc,GB0007990962,Europe,Other,Yes,SHC,SHC.L,249.3999939,255.6999969,240.6000061,242.1000061,217.6000061,216.6000061,198.1000061,204.8000031,235.1999969,255,242.3999939,261.7000122,243.6000061,198,165.8999939,166.3000031,163.5,146.1000061,139.8999939,129.3999939,111.9000015,104.5999985,134.6999969,145,140,169.6999969,170.6999969,181.8000031,172.8999939,161.3000031,170.6999969,173.8000031,166.1000061,165,162.1000061,168.3999939,171.3000031,166.1000061,175.1000061,165.3999939,162.5,140.3000031,148.6999969,120,106.3000031,107.0999985,101.5,106.5,115,126.4000015,114.6999969,117.8000031,119.9000015,115.0999985,119.8000031,117.5999985,114.8000031,104,120.9000015,138.1000061,133.3000031,123.9000015,144.3000031,134.6999969,145.8000031,139.1999969,"Regal House 14 James Street London, WC2E 8BU United Kingdom",NYSE
"Paramount Group, Inc.","Paramount Group, Inc.",US69924R1086,North America,Office,Yes,PGRE,PGRE,14.47999954,14.35999966,14.18999958,14.48999977,14.25,14.01000023,13.82999992,13.18000031,13.35000038,13.47000027,13.59000015,13.92000008,14.06000042,12.14999962,8.800000191,9.649999619,7.710000038,7.710000038,7.130000114,7.400000095,7.079999924,5.78000021,9.25,9.039999962,8.890000343,9.270000458,10.13000011,10.60999966,10.97999954,10.06999969,9.760000229,8.859999657,8.989999771,8.479999542,7.960000038,8.340000153,8.68999958,11.18999958,10.90999985,9.510000229,9.06000042,7.230000019,7.849999905,6.929999828,6.230000019,6.46999979,6.519999981,5.940000057,6.449999809,5.269999981,4.559999943,4.329999924,4.340000153,4.429999828,5.239999771,5.139999866,4.619999886,4.28000021,4.699999809,5.170000076,4.75,4.429999828,4.690000057,4.639999866,4.550000191,4.630000114,"1633 Broadway Suite 1801 New York, NY 10019-6748 United States",NYSE
Prologis,Prologis,US74340W1036,North America,Industrial,Yes,PLD,PLD,69.16000366,70.05999756,71.94999695,76.66999817,73.66999817,80.09999847,80.61000061,83.62000275,85.22000122,87.76000214,91.55000305,89.13999939,92.87999725,84.27999878,80.37000275,89.23000336,91.5,93.33000183,105.4199982,101.8600006,100.6200027,99.19999695,100.0500031,99.66000366,103.1999969,99.06999969,106,116.5299988,117.8399963,119.5299988,128.0399933,134.6600037,125.4300003,144.9600067,150.75,168.3600006,156.8200073,145.8500061,161.4799957,160.2899933,127.4800034,117.6500015,132.5599976,124.5100021,101.5999985,110.75,117.7900009,112.7300034,129.2799988,123.4000015,124.7699966,125.25,124.5500031,122.6299973,124.75,124.1999969,112.2099991,100.75,114.9300003,133.3000031,126.6900024,133.2700043,130.2200012,102.0500031,110.4899979,112.3099976,"Pier 1, Bay 1 San Francisco, CA 94111 United States",NYSE
Big Yellow Plc,Big Yellow Plc,GB0002869419,Europe,Other: Self-Storage,Yes,BYG,BYG.L,958.5,980.5,991.5,1041,1018,989.5,989,1070,1039,1142,1105,1200,1179,1066,1004,1072,1000,1004,1019,1072,1040,1100,1138,1097,1106,1135,1115,1196,1308,1307,1452,1525,1395,1479,1632,1707,1494,1415,1536,1430,1347,1312,1425,1330,1060,1126,1090,1147,1209,1214,1169,1224,1150,1073,1073,1075,938.5,955,1083,1222,1148,1003,1064,1080,1248,1174,"Unit 2, The Deans Bridge Road, Bagshot Bagshot, GU19 5AT United Kingdom",NYSE
Derwent London Plc,Derwent London Plc,GB0002652740,Europe,Office,Yes,DLN,DLN.L,3239,3266,3223,3170,3216,3116,2920,3184,3370,3550,3698,4010,4110,3920,3270,3106,2940,2776,2876,2828,2570,2658,3042,3096,3172,3310,3228,3329,3456,3320,3636,3793,3458,3382,3390,3415,3405,3044,3209,3016,2974,2612,2868,2436,2020,2164,2344,2368,2582,2614,2358,2402,2148,2050,2116,1858,1927,1823,2106,2360,2140,1924,2168,2056,2328,2260,"25 Savile Row London, W1S 2ER United Kingdom",NYSE
British Land Company Plc,British Land Company Plc,GB0001367019,Europe,Office,Yes,BLND,BLND.L,573.4000244,604.2000122,589,594,534,538.4000244,508,509.7999878,584.7999878,620.5999756,575.5999756,638.7999878,554.5999756,501,336.2000122,404.6000061,407.2999878,386.3999939,366.1000061,365.7000122,337.3999939,348.6000061,471.7000122,489,448.7000122,489.6000061,504.7999878,518.4000244,510,494.8999939,510.6000061,530.2000122,495.2000122,494.2999878,508.7999878,531,550.2000122,529.5999756,530.4000244,517.7999878,525.5999756,447.1000061,492,430.7999878,350.7000122,365.8999939,394.2999878,395.1000061,442.3999939,446.7000122,387.7999878,400.2000122,343,302.7999878,338,323.6000061,316.8999939,297.5,351.6000061,399.6000061,382,347.8999939,395.2000122,388,437.7999878,411.6000061,"York House 45 Seymour Street London, W1H 7LX United Kingdom",NYSE
"Simon Property Group, Inc.","Simon Property Group, Inc.",US8288061091,North America,Retail,Yes,SPG,SPG,182.1199951,181.1600037,182.2100067,173.6999969,162.0899963,159.7599945,162.1999969,148.9400024,155.6499939,150.6799927,151.2100067,148.9600067,133.1499939,123.0800018,54.86000061,66.76999664,57.70000076,68.37999725,62.34999847,67.84999847,64.68000031,62.81000137,82.56999969,85.27999878,92.93000031,112.9199982,113.7699966,121.7399979,128.4900055,130.4799957,126.5199966,134.4499969,129.9700012,146.5800018,152.8399963,159.7700043,147.1999969,137.5599976,131.5599976,118,114.6500015,94.91999817,108.6399994,101.9800034,89.75,108.9800034,119.4400024,117.4800034,128.4600067,122.0899963,111.9700012,113.3199997,105.1500015,115.4800034,124.5999985,113.4899979,108.0299988,109.8899994,124.8899994,142.6399994,138.6100006,148.1399994,156.4900055,140.5299988,151.3099976,151.8000031,"225 West Washington Street Indianapolis, IN 46204-3438 United States",NYSE
"AvalonBay Communities, Inc.","AvalonBay Communities, Inc.",US0534841012,North America,Residential,Yes,AVB,AVB,192.9199982,194.6300049,200.7299957,200.9299927,203.0099945,203.1799927,208.7899933,212.5599976,215.3300018,217.6600037,214.4100037,209.6999969,216.6900024,200.5899963,147.1699982,162.9499969,156.0099945,154.6399994,153.1199951,158.0599976,149.3399963,139.1300049,166.5899963,160.4299927,163.6699982,175.75,184.5099945,192,206.9400024,208.6900024,227.8300018,229.5800018,221.6399994,236.6799927,238.8699951,252.5899963,244.2299957,238.5899963,248.3699951,227.4799957,207.9600067,194.25,213.9400024,200.9100037,184.1900024,175.1199951,174.8999939,161.5200043,177.4400024,172.5200043,168.0599976,180.3699951,173.9799957,189.2700043,188.6499939,183.8200073,171.7400055,165.7400055,172.9400024,187.2200012,179.0099945,177.0299988,185.5599976,189.5700073,192.6799927,206.8899994,"4040 Wilson Boulevard, Suite 1000 Arlington, VA 22203-2120 United States",NYSE
The UNITE Group Plc,The UNITE Group Plc,GB0006928617,Europe,Residential,Yes,UTG,UTG.L,910.5,915.5,917.5,942,949.5,974.5,1032,1047,1092,1125,1251,1260,1272,1133,801.5,875.5,868.5,940,939,967.5,839,833,989.5,1045,960,971,1067,1165,1135,1074,1157.5,1222.5,1088,1088.5,1061,1110.5,1034,1068,1158,1135,1158,1064,1165,1051,858.5,891,922.5,910,997,983,959.5,959,895,870,973.5,940.5,897.5,868.5,971,1044,1017,960,978,928,931.5,892,"South Quay House Temple Back Bristol, BS1 6FL United Kingdom",NYSE
